#BLTrackFile initial
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-162.132 -195.74 0 528.681 527.935 9972.05 0 2212 1 1 0 1
650.108 -377.497 0 68.9096 -289.538 9995.57 0 2212 2 1 0 1
714.746 -521.335 0 84.7404 -51.059 9999.51 0 2212 3 1 0 1
-226.404 392.477 0 -182.903 132.647 9997.45 0 2212 4 1 0 1
-936.78 494.979 0 43.5837 -227.383 9997.32 0 2212 5 1 0 1
-101.733 -135.059 0 -43.7307 -187.431 9998.15 0 2212 6 1 0 1
-157.723 34.218 0 59.3989 -364.391 9993.18 0 2212 7 1 0 1
798.848 213.052 0 0.93816 -920.48 9957.55 0 2212 8 1 0 1
82.415 -82.9781 0 52.2377 116.436 9999.19 0 2212 9 1 0 1
-134.738 -99.3771 0 47.077 55.7709 9999.73 0 2212 10 1 0 1
-374.596 4.64892 0 44.7882 -180.555 9998.27 0 2212 11 1 0 1
726.012 40.4862 0 150.883 -1073.61 9941.06 0 2212 12 1 0 1
526.606 584.328 0 -108.451 -210.856 9997.19 0 2212 13 1 0 1
-4.05956 82.6965 0 50.0766 205.153 9997.77 0 2212 14 1 0 1
-794.372 291.932 0 317.245 172.97 9993.47 0 2212 15 1 0 1
650.82 -212.53 0 230.19 360.09 9990.86 0 2212 16 1 0 1
-314.596 -8.57992 0 -176.82 606.012 9980.05 0 2212 17 1 0 1
-458.987 77.9976 0 -14.6085 -454.006 9989.68 0 2212 18 1 0 1
223.402 258.463 0 367.73 122.261 9992.49 0 2212 19 1 0 1
316.241 -70.3881 0 247.953 140.369 9995.94 0 2212 20 1 0 1
-30.1244 307.651 0 -2.5411 160.483 9998.71 0 2212 21 1 0 1
-20.8643 132.737 0 -99.7561 -323.467 9994.27 0 2212 22 1 0 1
-41.2971 221.535 0 159.766 -324.214 9993.47 0 2212 23 1 0 1
-498.412 -161.086 0 -52.9964 23.2796 9999.83 0 2212 24 1 0 1
9.75598 -198.964 0 -169.052 -487.114 9986.7 0 2212 25 1 0 1
-773.875 -175.959 0 318.842 -181.47 9993.27 0 2212 26 1 0 1
1049.66 -86.7665 0 -86.4025 108.324 9999.04 0 2212 27 1 0 1
60.6825 -137.291 0 -147.098 229.882 9996.28 0 2212 28 1 0 1
417.712 -165.208 0 157.365 195.83 9996.84 0 2212 29 1 0 1
407.945 126.069 0 -259.026 -160.99 9995.35 0 2212 30 1 0 1
-546.716 155.472 0 -74.1985 -811.199 9966.77 0 2212 31 1 0 1
-341.989 72.2567 0 134.414 -200.742 9997.08 0 2212 32 1 0 1
-590.588 416.015 0 -256.398 -401.597 9988.64 0 2212 33 1 0 1
-286.575 -158.501 0 45.3611 455.185 9989.53 0 2212 34 1 0 1
563.665 -54.1922 0 62.3853 -300.251 9995.3 0 2212 35 1 0 1
-838.353 -148.206 0 -37.6005 -276.774 9996.1 0 2212 36 1 0 1
-241.437 -153.431 0 -5.31069 -197.455 9998.05 0 2212 37 1 0 1
-63.5124 -322.229 0 -68.7221 109.632 9999.16 0 2212 38 1 0 1
-174.758 138.011 0 -218.416 23.2595 9997.59 0 2212 39 1 0 1
-217.882 145.971 0 41.5423 606.952 9981.48 0 2212 40 1 0 1
97.5019 -280.11 0 26.1385 541.488 9985.29 0 2212 41 1 0 1
637.634 269.824 0 175.913 -629.003 9978.65 0 2212 42 1 0 1
